A,B,C,D
852.0998,783.0106,732.0162,883.3544
847.1649,809.3303,784.6556,865.2596
860.3247,809.3303,784.6556,860.3247
857.0347,677.7319,626.7375,866.9047
857.0347,809.3303,837.295,876.7745
853.7448,783.0106,810.9753,880.0645
832.36,756.691,810.9753,863.6147
848.8099,914.6091,889.9344,850.4548
852.0998,861.9697,863.6147,871.8396
861.9697,835.65,837.295,888.2894
857.0347,861.9697,916.254,865.2596
861.9697,756.691,758.3359,891.5793
853.7448,756.691,758.3359,894.8693
852.0998,809.3303,837.295,884.9995
850.4548,835.65,837.295,852.0998
868.5496,809.3303,837.295,875.1295
865.2596,861.9697,784.6556,865.2596
837.295,809.3303,784.6556,853.7448
857.0347,809.3303,784.6556,865.2596
860.3247,861.9697,863.6147,860.3247
876.7745,783.0106,758.3359,875.1295
847.1649,756.691,758.3359,857.0347
860.3247,704.0516,705.6966,894.8693
855.3898,783.0106,810.9753,875.1295
855.3898,783.0106,810.9753,865.2596
852.0998,914.6091,916.254,865.2596
850.4548,809.3303,863.6147,858.6797
870.1946,809.3303,810.9753,880.0645
840.585,809.3303,810.9753,868.5496
858.6797,809.3303,810.9753,873.4846
861.9697,888.2894,916.254,878.4195
863.6147,835.65,863.6147,888.2894
853.7448,835.65,863.6147,861.9697
858.6797,783.0106,758.3359,870.1946
853.7448,809.3303,758.3359,878.4195
860.3247,625.0925,600.4178,886.6444
852.0998,809.3303,810.9753,878.4195
835.65,809.3303,810.9753,861.9697
858.6797,914.6091,916.254,868.5496
865.2596,861.9697,863.6147,866.9047
868.5496,756.691,705.6966,889.9344
838.94,861.9697,863.6147,848.8099
865.2596,809.3303,810.9753,875.1295
861.9697,809.3303,810.9753,878.4195
875.1295,598.7728,600.4178,891.5793
858.6797,809.3303,810.9753,881.7095
868.5496,809.3303,810.9753,881.7095
845.5199,914.6091,916.254,855.3898
842.2299,861.9697,916.254,840.585
852.0998,809.3303,810.9753,860.3247
865.2596,809.3303,810.9753,880.0645
875.1295,756.691,705.6966,894.8693
855.3898,861.9697,863.6147,865.2596
861.9697,681.0219,705.6966,891.5793
852.0998,848.8099,863.6147,873.4846
857.0347,773.1407,758.3359,871.8396
847.1649,746.8211,758.3359,852.0998
866.9047,835.65,810.9753,888.2894
868.5496,779.7207,810.9753,878.4195
858.6797,815.9103,863.6147,858.6797
886.6444,796.1705,810.9753,873.4846
866.9047,796.1705,810.9753,868.5496
863.6147,832.36,810.9753,873.4846
837.295,868.5496,863.6147,845.5199
866.9047,773.1407,758.3359,886.6444
861.9697,766.5609,758.3359,880.0645
855.3898,628.3825,600.4178,875.1295
857.0347,786.3006,758.3359,861.9697
852.0998,789.5906,758.3359,865.2596
845.5199,842.2299,810.9753,858.6797
848.8099,842.2299,863.6147,861.9697
868.5496,868.5496,810.9753,875.1295
845.5199,842.2299,810.9753,860.3247
853.7448,815.9103,758.3359,871.8396
845.5199,894.8693,863.6147,871.8396
861.9697,789.5906,810.9753,903.0942
858.6797,815.9103,810.9753,873.4846
858.6797,763.2709,705.6966,881.7095
870.1946,763.2709,758.3359,881.7095
866.9047,815.9103,758.3359,880.0645
853.7448,815.9103,758.3359,891.5793
852.0998,815.9103,810.9753,881.7095
857.0347,894.8693,810.9753,883.3544
858.6797,789.5906,758.3359,866.9047
873.4846,763.2709,705.6966,884.9995
858.6797,855.3898,810.9753,878.4195
876.7745,783.0106,758.3359,903.0942
868.5496,848.8099,863.6147,884.9995
866.9047,736.9512,758.3359,881.7095
858.6797,743.5311,758.3359,876.7745
857.0347,815.9103,810.9753,871.8396
857.0347,829.0701,810.9753,861.9697
842.2299,842.2299,863.6147,860.3247
848.8099,822.4902,810.9753,880.0645
848.8099,796.1705,810.9753,886.6444
858.6797,769.8508,758.3359,889.9344
858.6797,861.9697,863.6147,871.8396
861.9697,802.7504,863.6147,896.5143
842.2299,842.2299,863.6147,870.1946
843.8749,750.111,758.3359,875.1295
840.585,783.0106,758.3359,870.1946
848.8099,809.3303,784.6556,878.4195
857.0347,783.0106,784.6556,870.1946
865.2596,809.3303,863.6147,873.4846
870.1946,756.691,784.6556,880.0645
850.4548,756.691,784.6556,863.6147
847.1649,756.691,758.3359,878.4195
830.7151,835.65,837.295,857.0347
861.9697,835.65,810.9753,883.3544
855.3898,809.3303,810.9753,876.7745
881.7095,730.3713,679.3769,904.7392
880.0645,730.3713,705.6966,898.1592
852.0998,651.4122,626.7375,863.6147
847.1649,730.3713,705.6966,845.5199
822.4902,809.3303,837.295,820.8452
835.65,783.0106,784.6556,852.0998
820.8452,809.3303,810.9753,860.3247
827.4251,838.94,787.9456,857.0347
822.4902,838.94,735.3062,834.005
858.6797,891.5793,787.9456,871.8396
852.0998,838.94,787.9456,850.4548
855.3898,733.6613,682.6669,860.3247
860.3247,733.6613,682.6669,873.4846
866.9047,733.6613,682.6669,876.7745
868.5496,838.94,787.9456,860.3247
848.8099,838.94,840.585,848.8099
852.0998,838.94,787.9456,868.5496
850.4548,838.94,787.9456,853.7448
852.0998,786.3006,735.3062,870.1946
845.5199,838.94,787.9456,848.8099
865.2596,891.5793,840.585,865.2596
848.8099,786.3006,787.9456,852.0998
852.0998,733.6613,682.6669,870.1946
858.6797,733.6613,735.3062,860.3247
866.9047,838.94,787.9456,863.6147
855.3898,891.5793,787.9456,858.6797
837.295,944.2187,840.585,837.295
845.5199,944.2187,787.9456,865.2596
829.0701,891.5793,735.3062,850.4548
857.0347,838.94,682.6669,857.0347
845.5199,891.5793,787.9456,840.585
857.0347,838.94,735.3062,863.6147
843.8749,891.5793,840.585,853.7448
843.8749,786.3006,735.3062,866.9047
848.8099,786.3006,735.3062,860.3247
852.0998,786.3006,735.3062,860.3247
850.4548,838.94,735.3062,842.2299
834.005,838.94,840.585,838.94
863.6147,838.94,787.9456,855.3898
842.2299,786.3006,787.9456,852.0998
848.8099,753.401,787.9456,871.8396
832.36,825.7802,893.2243,848.8099
843.8749,825.7802,945.8637,868.5496
853.7448,825.7802,945.8637,858.6797
853.7448,740.2411,840.585,857.0347
857.0347,746.8211,840.585,863.6147
843.8749,766.5609,840.585,860.3247
835.65,832.36,840.585,857.0347
842.2299,858.6797,893.2243,858.6797
852.0998,812.6203,787.9456,860.3247
852.0998,786.3006,787.9456,857.0347
860.3247,753.401,735.3062,868.5496
843.8749,825.7802,787.9456,853.7448
850.4548,740.2411,787.9456,883.3544
843.8749,845.5199,840.585,845.5199
848.8099,733.6613,735.3062,848.8099
848.8099,812.6203,787.9456,850.4548
843.8749,865.2596,814.2653,863.6147
852.0998,838.94,814.2653,871.8396
838.94,917.899,945.8637,858.6797
858.6797,812.6203,787.9456,876.7745
850.4548,838.94,840.585,866.9047
847.1649,812.6203,787.9456,868.5496
843.8749,865.2596,840.585,847.1649
845.5199,891.5793,866.9047,863.6147
829.0701,891.5793,840.585,847.1649
840.585,786.3006,761.6259,861.9697
855.3898,812.6203,787.9456,863.6147
850.4548,812.6203,787.9456,866.9047
857.0347,812.6203,787.9456,870.1946
840.585,891.5793,893.2243,861.9697
855.3898,759.9809,761.6259,876.7745
835.65,804.3954,866.9047,852.0998
843.8749,786.3006,814.2653,881.7095
830.7151,837.295,866.9047,853.7448
848.8099,955.7336,919.544,871.8396
845.5199,776.4307,814.2653,868.5496
834.005,743.5311,814.2653,852.0998
843.8749,766.5609,814.2653,871.8396
852.0998,783.0106,814.2653,871.8396
855.3898,773.1407,814.2653,870.1946
837.295,886.6444,972.1834,850.4548
853.7448,773.1407,866.9047,883.3544
830.7151,802.7504,866.9047,865.2596
848.8099,801.1054,814.2653,881.7095
845.5199,812.6203,814.2653,850.4548
842.2299,889.9344,866.9047,875.1295
825.7802,797.8155,814.2653,850.4548
845.5199,771.4958,787.9456,865.2596
855.3898,755.046,787.9456,878.4195
853.7448,787.9456,814.2653,863.6147
861.9697,820.8452,840.585,868.5496
835.65,884.9995,919.544,855.3898
847.1649,804.3954,814.2653,852.0998
827.4251,806.0403,840.585,842.2299
837.295,812.6203,787.9456,860.3247
834.005,809.3303,814.2653,838.94
843.8749,807.6854,814.2653,852.0998
834.005,806.0403,814.2653,830.7151
825.7802,694.1817,787.9456,834.005
832.36,804.3954,814.2653,830.7151
842.2299,736.9512,761.6259,843.8749
843.8749,667.862,682.6669,838.94
830.7151,866.9047,893.2243,820.8452
848.8099,814.2653,840.585,855.3898
824.1351,919.544,945.8637,819.2002
820.8452,919.544,893.2243,850.4548
820.8452,919.544,893.2243,837.295
830.7151,919.544,893.2243,861.9697
834.005,919.544,893.2243,858.6797
857.0347,866.9047,893.2243,875.1295
842.2299,866.9047,893.2243,873.4846
837.295,866.9047,893.2243,863.6147
847.1649,866.9047,840.585,883.3544
830.7151,919.544,945.8637,860.3247
855.3898,814.2653,787.9456,881.7095
842.2299,866.9047,840.585,865.2596
850.4548,919.544,840.585,858.6797
838.94,866.9047,787.9456,842.2299
863.6147,919.544,893.2243,883.3544
838.94,761.6259,787.9456,868.5496
842.2299,708.9865,768.2058,863.6147
860.3247,708.9865,676.0869,878.4195
861.9697,656.3472,643.1873,870.1946
865.2596,866.9047,834.005,875.1295
852.0998,866.9047,880.0645,886.6444
858.6797,972.1834,965.6035,888.2894
840.585,814.2653,834.005,866.9047
860.3247,708.9865,649.7672,888.2894
861.9697,761.6259,755.046,866.9047
876.7745,761.6259,768.2058,896.5143
875.1295,761.6259,735.3062,884.9995
870.1946,761.6259,774.7858,876.7745
871.8396,814.2653,774.7858,886.6444
860.3247,814.2653,801.1054,883.3544
861.9697,866.9047,807.6854,876.7745
863.6147,881.7095,886.6444,880.0645
868.5496,776.4307,728.7263,896.5143
861.9697,776.4307,781.3657,868.5496
863.6147,671.152,623.4476,886.6444
866.9047,723.7913,676.0869,884.9995
891.5793,723.7913,676.0869,909.6741
845.5199,723.7913,676.0869,865.2596
824.1351,618.5126,676.0869,843.8749
806.0403,776.4307,728.7263,837.295
791.2355,723.7913,676.0869,830.7151
812.6203,671.152,623.4476,848.8099
804.3954,776.4307,781.3657,830.7151
814.2653,671.152,676.0869,843.8749
817.5552,671.152,676.0869,853.7448
830.7151,513.2339,465.5294,860.3247
829.0701,723.7913,728.7263,840.585
824.1351,671.152,676.0869,865.2596
822.4902,776.4307,834.005,850.4548
822.4902,723.7913,728.7263,842.2299
840.585,723.7913,728.7263,845.5199
827.4251,723.7913,728.7263,847.1649
827.4251,671.152,676.0869,858.6797
825.7802,776.4307,834.005,853.7448
843.8749,671.152,728.7263,875.1295
843.8749,723.7913,834.005,848.8099
860.3247,671.152,728.7263,870.1946
848.8099,671.152,728.7263,865.2596
840.585,671.152,728.7263,868.5496
838.94,829.0701,834.005,852.0998
832.36,776.4307,781.3657,858.6797
852.0998,776.4307,781.3657,875.1295
845.5199,829.0701,781.3657,871.8396
852.0998,723.7913,676.0869,876.7745
830.7151,881.7095,834.005,855.3898
863.6147,671.152,570.8082,878.4195
842.2299,671.152,676.0869,863.6147
834.005,723.7913,676.0869,871.8396
845.5199,723.7913,676.0869,858.6797
842.2299,934.3488,886.6444,860.3247
852.0998,723.7913,676.0869,871.8396
855.3898,723.7913,728.7263,870.1946
860.3247,723.7913,728.7263,873.4846
845.5199,723.7913,728.7263,863.6147
853.7448,618.5126,570.8082,858.6797
837.295,829.0701,834.005,842.2299
863.6147,776.4307,781.3657,876.7745
852.0998,776.4307,781.3657,855.3898
850.4548,723.7913,676.0869,868.5496
858.6797,723.7913,676.0869,868.5496
866.9047,618.5126,676.0869,888.2894
855.3898,829.0701,886.6444,863.6147
853.7448,723.7913,834.005,870.1946
858.6797,829.0701,886.6444,870.1946
855.3898,829.0701,834.005,855.3898
873.4846,776.4307,728.7263,880.0645
845.5199,881.7095,886.6444,850.4548
870.1946,829.0701,781.3657,871.8396
875.1295,829.0701,834.005,858.6797
891.5793,671.152,676.0869,880.0645
860.3247,776.4307,781.3657,858.6797
861.9697,776.4307,781.3657,871.8396
848.8099,881.7095,834.005,861.9697
847.1649,829.0701,834.005,871.8396
875.1295,829.0701,781.3657,886.6444
857.0347,829.0701,781.3657,880.0645
857.0347,750.111,676.0869,873.4846
868.5496,855.3898,781.3657,860.3247
878.4195,776.4307,676.0869,891.5793
868.5496,802.7504,728.7263,871.8396
868.5496,750.111,676.0869,876.7745
855.3898,697.4717,676.0869,861.9697
865.2596,776.4307,781.3657,871.8396
860.3247,776.4307,781.3657,868.5496
857.0347,776.4307,834.005,875.1295
866.9047,697.4717,728.7263,891.5793
850.4548,697.4717,728.7263,884.9995
863.6147,802.7504,781.3657,880.0645
855.3898,855.3898,834.005,865.2596
871.8396,750.111,728.7263,880.0645
855.3898,802.7504,781.3657,861.9697
845.5199,723.7913,676.0869,870.1946
834.005,776.4307,728.7263,855.3898
853.7448,855.3898,781.3657,875.1295
845.5199,750.111,728.7263,870.1946
845.5199,750.111,781.3657,865.2596
858.6797,750.111,781.3657,873.4846
838.94,723.7913,781.3657,870.1946
870.1946,697.4717,728.7263,883.3544
853.7448,855.3898,886.6444,865.2596
863.6147,776.4307,781.3657,896.5143
830.7151,829.0701,834.005,870.1946
845.5199,802.7504,728.7263,868.5496
853.7448,776.4307,728.7263,871.8396
863.6147,881.7095,781.3657,870.1946
865.2596,776.4307,728.7263,871.8396
860.3247,802.7504,834.005,875.1295
863.6147,829.0701,834.005,881.7095
861.9697,829.0701,781.3657,870.1946
865.2596,776.4307,676.0869,884.9995
847.1649,881.7095,781.3657,881.7095
870.1946,618.5126,465.5294,901.4492
871.8396,776.4307,676.0869,880.0645
863.6147,776.4307,676.0869,865.2596
863.6147,671.152,623.4476,865.2596
852.0998,881.7095,834.005,870.1946
843.8749,776.4307,728.7263,863.6147
860.3247,776.4307,781.3657,866.9047
866.9047,776.4307,781.3657,876.7745
855.3898,776.4307,781.3657,873.4846
873.4846,723.7913,676.0869,876.7745
857.0347,881.7095,834.005,853.7448
861.9697,776.4307,781.3657,873.4846
853.7448,829.0701,834.005,860.3247
848.8099,829.0701,728.7263,863.6147
835.65,829.0701,728.7263,857.0347
850.4548,986.9882,834.005,865.2596
853.7448,776.4307,623.4476,861.9697
847.1649,829.0701,728.7263,866.9047
845.5199,776.4307,623.4476,865.2596
829.0701,776.4307,623.4476,850.4548
829.0701,671.152,518.1688,852.0998
799.4604,881.7095,728.7263,817.5552
802.7504,723.7913,623.4476,820.8452
763.2709,829.0701,728.7263,773.1407
738.5962,829.0701,728.7263,761.6259
728.7263,829.0701,728.7263,756.691
710.6315,934.3488,834.005,738.5962
689.2468,829.0701,728.7263,727.0813
682.6669,829.0701,834.005,717.2114
689.2468,745.1761,695.8267,699.1166
681.0219,771.4958,748.4661,694.1817
687.6018,718.8564,695.8267,708.9865
666.217,850.4548,853.7448,684.3118
717.2114,850.4548,853.7448,740.2411
699.1166,850.4548,853.7448,713.9214
718.8564,797.8155,748.4661,740.2411
736.9512,745.1761,748.4661,756.691
753.401,797.8155,801.1054,784.6556
783.0106,824.1351,853.7448,810.9753
791.2355,824.1351,853.7448,824.1351
807.6854,797.8155,748.4661,847.1649
801.1054,797.8155,748.4661,822.4902
837.295,666.217,590.5479,840.585
842.2299,876.7745,853.7448,847.1649
868.5496,745.1761,695.8267,876.7745
863.6147,850.4548,853.7448,880.0645
881.7095,903.0942,748.4661,894.8693
888.2894,903.0942,748.4661,898.1592
894.8693,1008.373,853.7448,909.6741
884.9995,850.4548,748.4661,916.254
898.1592,903.0942,853.7448,916.254
917.899,850.4548,748.4661,935.9938
912.9641,850.4548,748.4661,926.124
924.4789,850.4548,748.4661,944.2187
911.3191,955.7336,853.7448,922.834
935.9938,797.8155,748.4661,949.1537
917.899,903.0942,853.7448,929.4139
914.6091,850.4548,748.4661,939.2838
903.0942,850.4548,853.7448,929.4139
909.6741,1008.373,853.7448,926.124
917.899,797.8155,748.4661,922.834
921.189,850.4548,853.7448,924.4789
922.834,745.1761,643.1873,937.6388
906.3842,745.1761,537.9086,916.254
927.7689,639.8973,327.3511,927.7689
911.3191,850.4548,537.9086,922.834
929.4139,692.5367,432.6298,944.2187
909.6741,850.4548,643.1873,909.6741
903.0942,850.4548,643.1873,939.2838
903.0942,797.8155,643.1873,932.7039
884.9995,850.4548,748.4661,909.6741
878.4195,797.8155,748.4661,901.4492
919.544,797.8155,748.4661,939.2838
924.4789,797.8155,748.4661,960.6685
870.1946,745.1761,748.4661,893.2243
888.2894,639.8973,643.1873,896.5143
903.0942,797.8155,748.4661,929.4139
896.5143,692.5367,643.1873,940.9288
868.5496,797.8155,801.1054,884.9995
875.1295,797.8155,748.4661,906.3842
889.9344,797.8155,801.1054,904.7392
878.4195,903.0942,853.7448,898.1592
868.5496,745.1761,695.8267,878.4195
881.7095,797.8155,853.7448,894.8693
893.2243,745.1761,748.4661,906.3842
870.1946,745.1761,748.4661,880.0645
868.5496,639.8973,590.5479,896.5143
868.5496,797.8155,801.1054,891.5793
883.3544,797.8155,801.1054,908.0292
860.3247,850.4548,853.7448,870.1946
857.0347,850.4548,801.1054,876.7745
873.4846,850.4548,801.1054,881.7095
871.8396,903.0942,801.1054,881.7095
865.2596,797.8155,748.4661,858.6797
873.4846,850.4548,880.0645,868.5496
871.8396,817.5552,801.1054,891.5793
853.7448,797.8155,827.4251,876.7745
866.9047,843.8749,827.4251,876.7745
853.7448,817.5552,827.4251,866.9047
853.7448,804.3954,827.4251,875.1295
834.005,863.6147,880.0645,860.3247
852.0998,771.4958,748.4661,873.4846
860.3247,843.8749,853.7448,880.0645
875.1295,863.6147,853.7448,884.9995
871.8396,824.1351,801.1054,881.7095
860.3247,857.0347,906.3842,866.9047
870.1946,732.0162,774.7858,883.3544
868.5496,797.8155,801.1054,870.1946
853.7448,817.5552,774.7858,873.4846
845.5199,824.1351,801.1054,853.7448
861.9697,876.7745,801.1054,873.4846
843.8749,666.217,643.1873,861.9697
865.2596,666.217,537.9086,881.7095
850.4548,666.217,537.9086,889.9344
857.0347,613.5777,537.9086,894.8693
855.3898,771.4958,695.8267,881.7095
845.5199,771.4958,695.8267,865.2596
848.8099,771.4958,695.8267,875.1295
838.94,771.4958,695.8267,860.3247
853.7448,718.8564,643.1873,883.3544
850.4548,771.4958,695.8267,880.0645
815.9103,613.5777,537.9086,829.0701
700.7616,297.7415,327.3511,644.8323
857.0347,1297.89,1380.139,840.585
957.3785,1350.529,1327.499,1011.663
791.2355,139.8233,11.51486,778.0757
768.2058,771.4958,853.7448,778.0757
880.0645,1613.726,1485.417,935.9938
886.6444,1192.611,853.7448,935.9938
794.5255,982.0533,853.7448,804.3954
835.65,1192.611,1064.302,857.0347
893.2243,1192.611,1064.302,935.9938
850.4548,982.0533,643.1873,883.3544
825.7802,982.0533,643.1873,830.7151
871.8396,1192.611,853.7448,883.3544
886.6444,982.0533,643.1873,909.6741
843.8749,982.0533,643.1873,857.0347
852.0998,982.0533,643.1873,857.0347
865.2596,1192.611,853.7448,883.3544
868.5496,982.0533,643.1873,883.3544
853.7448,982.0533,643.1873,883.3544
858.6797,982.0533,853.7448,883.3544
881.7095,929.4139,853.7448,904.7392
875.1295,824.1351,801.1054,891.5793
873.4846,560.9383,590.5479,888.2894
858.6797,824.1351,906.3842,889.9344
860.3247,613.5777,695.8267,889.9344
842.2299,824.1351,959.0236,875.1295
850.4548,771.4958,801.1054,880.0645
860.3247,771.4958,853.7448,894.8693
855.3898,771.4958,801.1054,884.9995
858.6797,771.4958,801.1054,881.7095
860.3247,718.8564,695.8267,880.0645
876.7745,718.8564,695.8267,881.7095
868.5496,824.1351,853.7448,871.8396
853.7448,771.4958,748.4661,871.8396
843.8749,982.0533,959.0236,873.4846
842.2299,982.0533,906.3842,873.4846
853.7448,830.7151,820.8452,880.0645
858.6797,778.0757,926.124,868.5496
861.9697,725.4363,926.124,871.8396
863.6147,620.1576,820.8452,886.6444
870.1946,567.5182,820.8452,881.7095
865.2596,830.7151,1136.681,875.1295
865.2596,778.0757,1031.403,880.0645
865.2596,883.3544,1136.681,870.1946
853.7448,935.9938,1136.681,873.4846
870.1946,672.7969,926.124,883.3544
860.3247,725.4363,926.124,884.9995
855.3898,672.7969,820.8452,875.1295
852.0998,778.0757,926.124,875.1295
853.7448,672.7969,715.5665,873.4846
858.6797,672.7969,715.5665,863.6147
855.3898,830.7151,926.124,865.2596
857.0347,778.0757,820.8452,875.1295
842.2299,988.6332,978.7633,878.4195
842.2299,883.3544,768.2058,870.1946
843.8749,883.3544,873.4846,873.4846
848.8099,883.3544,873.4846,865.2596
853.7448,883.3544,873.4846,861.9697
863.6147,830.7151,768.2058,880.0645
853.7448,935.9938,873.4846,875.1295
853.7448,883.3544,820.8452,871.8396
845.5199,883.3544,820.8452,873.4846
830.7151,883.3544,820.8452,868.5496
848.8099,935.9938,926.124,870.1946
852.0998,935.9938,926.124,871.8396
842.2299,988.6332,978.7633,852.0998
852.0998,935.9938,873.4846,860.3247
848.8099,830.7151,820.8452,865.2596
850.4548,988.6332,1031.403,873.4846
855.3898,883.3544,820.8452,880.0645
866.9047,778.0757,768.2058,876.7745
878.4195,778.0757,820.8452,880.0645
853.7448,830.7151,820.8452,868.5496
848.8099,830.7151,820.8452,866.9047
840.585,1041.273,1084.042,871.8396
847.1649,935.9938,820.8452,880.0645
848.8099,830.7151,768.2058,868.5496
838.94,883.3544,873.4846,863.6147
847.1649,830.7151,873.4846,858.6797
866.9047,883.3544,926.124,891.5793
883.3544,725.4363,768.2058,888.2894
845.5199,725.4363,768.2058,852.0998
842.2299,883.3544,978.7633,868.5496
840.585,935.9938,1031.403,860.3247
842.2299,883.3544,873.4846,858.6797
853.7448,778.0757,820.8452,870.1946
852.0998,830.7151,873.4846,873.4846
855.3898,778.0757,820.8452,870.1946
866.9047,725.4363,768.2058,871.8396
858.6797,672.7969,768.2058,878.4195
852.0998,883.3544,978.7633,860.3247
860.3247,725.4363,768.2058,861.9697
840.585,1093.912,1189.321,845.5199
853.7448,883.3544,820.8452,857.0347
857.0347,830.7151,820.8452,870.1946
848.8099,830.7151,820.8452,866.9047
855.3898,830.7151,820.8452,873.4846
865.2596,830.7151,820.8452,889.9344
858.6797,725.4363,662.9271,875.1295
850.4548,883.3544,873.4846,868.5496
863.6147,883.3544,873.4846,865.2596
852.0998,935.9938,873.4846,852.0998
843.8749,830.7151,662.9271,857.0347
847.1649,725.4363,557.6483,861.9697
845.5199,778.0757,662.9271,870.1946
860.3247,725.4363,662.9271,871.8396
861.9697,725.4363,662.9271,880.0645
858.6797,725.4363,662.9271,881.7095
853.7448,778.0757,662.9271,881.7095
857.0347,725.4363,662.9271,870.1946
863.6147,988.6332,978.7633,861.9697
845.5199,883.3544,768.2058,861.9697
852.0998,830.7151,768.2058,861.9697
852.0998,935.9938,873.4846,855.3898
843.8749,725.4363,662.9271,865.2596
853.7448,725.4363,768.2058,876.7745
842.2299,567.5182,557.6483,863.6147
838.94,883.3544,926.124,850.4548
847.1649,830.7151,820.8452,853.7448
834.005,935.9938,926.124,858.6797
843.8749,883.3544,768.2058,855.3898
847.1649,830.7151,715.5665,865.2596
838.94,883.3544,768.2058,863.6147
840.585,883.3544,715.5665,861.9697
830.7151,883.3544,715.5665,871.8396
843.8749,883.3544,715.5665,861.9697
863.6147,830.7151,715.5665,866.9047
852.0998,935.9938,873.4846,865.2596
860.3247,830.7151,662.9271,873.4846
860.3247,725.4363,557.6483,880.0645
847.1649,830.7151,715.5665,873.4846
848.8099,830.7151,715.5665,857.0347
842.2299,883.3544,768.2058,863.6147
847.1649,962.3135,820.8452,861.9697
848.8099,988.6332,768.2058,860.3247
853.7448,804.3954,557.6483,875.1295
853.7448,935.9938,768.2058,865.2596
865.2596,909.6741,715.5665,866.9047
855.3898,778.0757,610.2877,871.8396
843.8749,830.7151,715.5665,873.4846
852.0998,830.7151,715.5665,870.1946
848.8099,830.7151,715.5665,875.1295
847.1649,883.3544,768.2058,865.2596
842.2299,1014.953,873.4846,865.2596
837.295,830.7151,715.5665,875.1295
853.7448,857.0347,768.2058,871.8396
853.7448,857.0347,768.2058,873.4846
843.8749,751.756,662.9271,868.5496
855.3898,751.756,662.9271,878.4195
850.4548,804.3954,715.5665,873.4846
843.8749,962.3135,847.1649,861.9697
858.6797,962.3135,794.5255,871.8396
868.5496,1172.871,1031.403,870.1946
860.3247,857.0347,662.9271,866.9047
843.8749,909.6741,820.8452,861.9697
843.8749,962.3135,847.1649,873.4846
843.8749,962.3135,820.8452,857.0347
853.7448,962.3135,820.8452,861.9697
858.6797,962.3135,847.1649,870.1946
855.3898,1014.953,847.1649,861.9697
857.0347,804.3954,636.6074,863.6147
847.1649,909.6741,794.5255,866.9047
838.94,909.6741,794.5255,861.9697
842.2299,909.6741,820.8452,863.6147
834.005,962.3135,899.8043,857.0347
855.3898,1000.148,896.5143,861.9697
860.3247,842.2299,810.9753,870.1946
850.4548,842.2299,784.6556,883.3544
850.4548,842.2299,784.6556,889.9344
857.0347,684.3118,613.5777,884.9995
860.3247,684.3118,705.6966,881.7095
853.7448,789.5906,850.4548,868.5496
855.3898,736.9512,699.1166,875.1295
843.8749,947.5087,962.3135,860.3247
853.7448,894.8693,791.2355,871.8396
853.7448,842.2299,784.6556,873.4846
858.6797,894.8693,817.5552,866.9047
863.6147,842.2299,784.6556,875.1295
861.9697,842.2299,778.0757,868.5496
863.6147,789.5906,804.3954,878.4195
858.6797,789.5906,758.3359,870.1946
845.5199,842.2299,797.8155,866.9047
843.8749,789.5906,745.1761,855.3898
838.94,947.5087,797.8155,857.0347
